Inst Code,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_I BOYS,SC_I GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS
CASR,AGR,AGRICULTURAL ENGINEERING,53564,53564,101930,101930,83963,87114,66050,66050,64866,98882,53564,88344,110775,110775,130690,130690,77603,80447
CBIT,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2135,2471,6460,7039,2712,3659,7250,7250,2900,3854,4534,7788,22630,22630,11437,13345,2401,2897
CBIT,BIO,BIO-TECHNOLOGY,26454,26454,75903,85870,47560,47560,26454,26454,39659,39659,51714,92019,26454,26454,104804,104804,44042,44042
CBIT,CHE,CHEMICAL ENGINEERING,20480,24965,28637,97351,35883,35883,33485,33485,31995,35513,20480,69315,39136,39136,59409,59409,33929,33929
CBIT,CIC,CSE (IoT AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY),2321,2871,6201,6201,3286,3286,2321,2871,3173,4108,4449,4449,2321,2871,14578,14578,2614,3164
CBIT,CIV,CIVIL ENGINEERING,18762,18762,38989,43635,25430,29274,18762,73809,26659,26933,35113,35113,18762,147979,38191,38191,27821,34853
CBIT,CSE,COMPUTER SCIENCE AND ENGINEERING,1201,1591,3390,5517,1718,2360,4033,4033,1605,2837,2542,4758,14488,14488,9029,12346,1669,2047
CBIT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),1522,1851,4194,5397,2362,2551,1522,1851,2030,2953,2856,3281,1522,1851,8365,12027,1810,2161
CBIT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,3474,4227,8630,13458,5380,6166,9385,9385,5347,7037,11234,15034,26741,26741,19160,19327,5506,5506
CBIT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,8670,9988,29331,35182,10915,16628,17670,17670,15133,16216,24123,24123,64383,64383,21925,28515,12158,13312
CBIT,EVL,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),4483,6015,18524,18524,8823,9676,4483,6015,6790,13981,29613,29613,4483,103523,21590,69804,6316,6593
CBIT,INF,INFORMATION TECHNOLOGY,3007,3339,11847,12761,4146,4778,11335,17355,4727,5017,5542,11940,23273,23273,16182,23526,3728,3825
CBIT,MEC,MECHANICAL ENGINEERING,14331,19828,41326,59800,20606,29786,59029,59029,22237,36292,29892,60685,14331,19828,40514,75368,21095,29647
CDTK,DRG,DAIRYING,61178,61178,107556,107556,86189,86189,61178,61178,85662,85662,119334,119334,61178,61178,94854,139138,69381,77684
CFSR,FDT,FOOD TECHNOLOGY,64297,64297,64297,107727,75436,75436,64297,64297,116613,116613,64297,113031,64297,64297,147360,147360,94498,94498
CHET,CIV,CIVIL ENGINEERING,89578,89578,123172,123172,93556,132020,145507,145507,128795,128795,89578,89578,141272,141272,150868,150868,89578,131177
CHET,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),64153,64153,96538,96538,95737,99558,64153,64153,84552,85817,75375,82783,64153,64153,145712,146297,103303,103303
CHET,CSE,COMPUTER SCIENCE AND ENGINEERING,57780,57780,117822,120378,87841,87841,57780,72733,81798,84351,91857,121387,57780,137606,137671,140042,96298,96298
CHET,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),71603,71603,129592,129592,92690,92690,71603,71603,87894,87894,90515,90515,71603,71603,144539,149637,98320,98320
CHET,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,36087,36087,100119,124303,95213,95213,36087,36087,55689,71145,36087,119890,36087,36087,144401,149648,111721,111721
CHET,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,97810,97810,112644,112644,107975,107975,115813,115813,107221,107438,131458,131458,143661,143661,143802,143802,122046,122046
CHET,MEC,MECHANICAL ENGINEERING,92217,124322,150208,151144,100809,150803,92217,124322,150504,150504,92217,124322,92217,124322,149752,149890,106530,124322
CHTN,CIV,CIVIL ENGINEERING,109384,109384,109384,109384,109384,109384,109384,109384,109384,109384,109384,109384,109384,109384,109384,143113,109384,109384
CHTN,CSE,COMPUTER SCIENCE AND ENGINEERING,84376,84376,131433,131433,117652,117652,120616,120616,117623,117623,131442,131442,90893,140681,150726,150726,135092,135092
CHTN,CSG,COMPUTER SCIENCE & DESIGN,88031,88031,112001,133039,132698,132698,88031,88031,132312,132312,133278,133278,88031,88031,147437,147437,88031,88031
CHTN,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,81981,81981,132088,132088,116055,116055,81981,81981,113115,113115,105817,105817,81981,81981,127969,128232,104776,127659
CHTN,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,106650,106650,106650,112728,117232,132986,106650,106650,129865,134795,121054,121054,106650,106650,122827,122827,106650,106650
CHTN,MEC,MECHANICAL ENGINEERING,127137,130558,127137,130558,127137,130558,127137,130558,143522,143522,127137,130558,127137,130558,127137,130558,127137,130558
CHTS,CSE,COMPUTER SCIENCE AND ENGINEERING,89335,89335,135093,135093,134944,134944,89335,123073,125507,125507,116179,116179,127056,127056,137759,139250,133355,133355
CHTS,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),86641,86641,126416,126416,135380,135380,92193,92193,120523,120523,117907,117907,128414,128414,151151,151151,98174,135063
CHTS,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,84493,84493,120370,120370,116690,116690,108309,108309,105008,105008,111587,112651,135922,135922,149244,149244,84493,117850
CHTS,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,97090,97090,97090,118012,130315,130315,97090,97090,131429,131429,128846,128846,97090,97090,97090,97090,112497,112497
CMRG,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),27722,27722,58948,58948,36061,36061,108685,114674,35014,35014,51829,63102,141222,149364,95483,109900,30604,30604
CMRG,CSE,COMPUTER SCIENCE AND ENGINEERING,24327,24327,53632,53632,33620,33620,54492,68276,31179,31179,48210,56544,140968,140968,77595,80299,27987,27987
CMRG,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),25085,25305,50488,50488,34076,34076,87764,87764,31438,31438,42870,59614,81207,81207,86597,95749,28766,28766
CMRG,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,28697,29477,68659,68659,40934,42784,28697,114369,34712,42670,73162,73162,28697,119647,76244,105346,34692,36562
CMRK,CIV,CIVIL ENGINEERING,40084,40084,73947,73947,53414,80220,40084,40084,45367,69037,65153,65153,40084,40084,97809,105291,52684,52684
CMRK,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),14772,14772,35925,35925,19462,19462,50897,50897,18928,18928,28179,38385,40455,40455,59016,66842,15697,15697
CMRK,CSE,COMPUTER SCIENCE AND ENGINEERING,12836,12836,32610,33913,17909,17909,40064,84942,17558,17558,27218,31011,67731,67731,52460,58737,14585,14585
CMRK,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),13742,13742,34135,34135,18274,18274,43039,70036,18049,18070,28236,35317,80691,139555,56711,65769,15248,15248
CMRK,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,18950,18950,45606,45606,26119,26119,18950,18950,24052,24052,31607,53576,18950,18950,69845,92174,21482,22634
CMRK,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,27286,27720,77668,77668,30668,30668,42370,42370,39910,50211,27286,83490,143271,143271,70786,134043,41748,41748
CMRK,MEC,MECHANICAL ENGINEERING,38586,59218,38586,86372,38586,83001,38586,59218,59761,59761,116681,116681,38586,59218,71205,144013,48744,64913
CMRM,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),23165,23165,52937,54892,30707,30707,23165,103939,30864,31029,48023,57929,23165,137472,81831,106823,24473,24590
CMRM,CSE,COMPUTER SCIENCE AND ENGINEERING,20258,20258,47259,48478,28054,28054,94005,94005,26369,26369,39370,42059,90076,90076,73554,86784,22594,22594
CMRM,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),21688,21688,49145,49929,28998,28998,63087,63087,28746,28746,42474,52586,132343,132343,84410,99794,24288,24288
CMRM,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,30308,30308,70813,70813,43259,43259,30308,115779,35064,36804,69633,126015,30308,30427,95411,135655,33696,35055
CMRN,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),32706,32706,65628,65718,42262,42262,66302,66302,39762,39762,59486,84202,105971,105971,101082,122627,35997,35997
CMRN,CSE,COMPUTER SCIENCE AND ENGINEERING,29505,29505,60566,60572,39980,39980,133279,133279,36611,37359,56910,79213,144264,144264,95039,113997,34338,34338
CMRN,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),29894,29894,58564,61138,37236,39354,57379,57379,36717,36717,52391,72642,29894,148385,100250,121381,34421,34421
CMRN,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,38499,38499,74455,74455,48652,48652,38499,75139,44683,44683,74762,126329,39791,39791,110540,135791,44488,45472
CVRH,CIV,CIVIL ENGINEERING,22493,22493,22493,94965,38148,38148,128009,128009,37434,37434,65976,109200,22493,22493,44858,44858,30802,37274
CVRH,CSB,COMPUTER SCIENCE AND BUSINESS SYSTEM,7461,8676,22280,22280,11615,11615,7461,8676,9138,11404,17177,33392,7461,8676,38228,44470,7917,8783
CVRH,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),6909,7637,20402,22317,10386,10844,30469,30469,9134,10568,16469,24824,6909,77425,34299,45790,7378,8124
CVRH,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),6212,6976,19467,20951,8113,9401,6212,31850,8572,9713,14505,23180,56530,56530,32324,38661,6741,7364
CVRH,CSE,COMPUTER SCIENCE AND ENGINEERING,5072,5784,16763,16763,7018,8770,19920,19920,7377,7946,13239,18127,39171,39171,25851,30231,5842,6230
CVRH,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),5286,6102,18372,18471,7427,9032,16272,28946,7709,8635,12252,15431,37804,60836,29909,34051,5881,6415
CVRH,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,7669,9169,22104,22104,10317,12919,46925,46925,9915,13623,25245,32453,66885,66885,31285,37222,8671,10561
CVRH,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,13783,13783,47421,47421,17137,19409,13783,13783,17113,17113,28718,28718,13783,13783,42232,42232,14238,15948
CVRH,EIE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,18602,21539,18602,53805,31202,31202,18602,21539,28932,33365,35094,131246,18602,21539,81085,81085,25408,25408
CVRH,EVL,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),11168,12024,30569,30569,15942,21198,11168,16270,15429,20423,59478,59478,11168,110776,37689,98755,11774,13632
CVRH,INF,INFORMATION TECHNOLOGY,6758,7739,22621,22621,10056,10389,6758,7739,8587,9150,19500,19500,6758,7739,34156,42080,7004,8187
CVRH,MEC,MECHANICAL ENGINEERING,26760,26760,71332,71332,48034,50059,26760,26760,31730,31730,26760,77191,26760,26760,56950,130244,30297,30297
DARE,CSE,COMPUTER SCIENCE AND ENGINEERING,108258,108258,115756,143051,123550,123550,108258,108258,108258,108258,108258,108258,108258,108258,150799,150799,108258,108258
DARE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,96225,96225,96225,96225,143154,143154,96225,96225,96225,96225,96225,96225,96225,96225,96225,96225,96225,96225
DRKI,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),66259,66259,123670,133680,92642,92642,124306,124306,82875,82875,135052,135052,70380,70380,144379,145269,89496,89496
DRKI,CSE,COMPUTER SCIENCE AND ENGINEERING,60983,60983,125284,125284,82936,85314,63369,63369,76204,76204,123739,123739,140194,140194,142415,151050,80551,80551
DRKI,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),58344,58344,96585,108521,78135,78135,68844,68844,73917,79683,113062,113062,145344,145344,145723,145830,80123,80123
DRKI,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,67119,67119,130934,133469,94445,94445,67119,84010,84196,84196,132610,132610,67119,80228,143374,143374,78342,95506
DRKI,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,72026,74404,118124,118124,113364,113364,72026,74404,103756,103756,72026,74404,72026,74404,145588,146891,91182,126508
DRKI,MEC,MECHANICAL ENGINEERING,87554,87554,109866,109866,130347,130347,87554,122529,109612,128876,134714,134714,87554,87554,150940,150940,120509,131652
ELEN,CIV,CIVIL ENGINEERING,72567,105970,129895,129895,120828,124334,72567,105970,120846,120846,72567,111120,72567,105970,146335,146335,72567,105970
ELEN,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),64601,64601,131304,131304,92461,99483,64601,64601,88570,93108,132398,132398,64601,64601,145012,150134,97865,103723
ELEN,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),62285,62285,127739,127739,96478,96478,87519,87519,83433,90505,62285,120071,62285,62285,148888,148914,100338,100338
ELEN,CSE,COMPUTER SCIENCE AND ENGINEERING,66368,66368,115709,115709,89723,89723,66368,82006,85216,85216,121930,127434,141338,141338,143172,151563,95062,95062
ELEN,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),72283,75384,123588,133071,95245,95245,134934,134934,87902,88909,132266,133860,137211,137211,148373,149252,99787,104722
ELEN,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,70104,74438,129215,129215,96256,96256,70104,74438,85604,92608,70104,74438,70104,74438,147549,147715,90829,90829
ELEN,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,75340,75340,116561,116561,113779,113779,75340,75340,90737,103045,75340,87686,147507,147507,149919,149919,120702,120702
ELEN,MEC,MECHANICAL ENGINEERING,70334,70334,133095,133095,125986,149871,70334,70334,117251,133800,122473,122473,70334,70334,150716,150716,70334,70334
ESUT,CSE,COMPUTER SCIENCE AND ENGINEERING,45412,45412,74466,124932,60393,61466,45412,45412,51734,62691,81757,81757,45412,45412,66705,68011,86627,122606
ESUT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,71570,71570,111107,111107,120099,122291,71570,107681,142835,142835,143936,143936,71570,143857,145010,145487,128530,128530
ESUT,MIN,MINING ENGINEERING,51916,51916,51916,77463,75781,75781,51916,51916,59738,59738,51916,85295,51916,51916,69791,69791,100425,100425
ESUTSF,CSE,COMPUTER SCIENCE AND ENGINEERING,60997,65114,101864,126390,100718,100718,60997,97425,90485,113580,87263,87263,60997,65114,122256,142021,60997,65114
ESUTSF,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592,151592
ESUTSF,INF,INFORMATION TECHNOLOGY,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911,130911
ESUTSF,MIN,MINING ENGINEERING,96790,96790,96790,96790,132567,132567,96790,96790,124989,124989,96790,96790,96790,96790,151416,151416,96790,96790
GATE,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,119314,119314,139367,149643,140880,150555,119314,119314,143991,150898,119314,119314,119314,119314,149873,149873,119314,119314
GATE,BIO,BIO-TECHNOLOGY,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455,145455
GATE,CIV,CIVIL ENGINEERING,146661,146661,146661,146661,146661,146661,146661,146661,146661,150070,146661,146661,146661,146661,150288,150288,146661,146661
GATE,CSE,COMPUTER SCIENCE AND ENGINEERING,82036,88086,123517,137829,130298,130298,117849,117849,117550,117550,128384,128384,124012,124012,151365,151365,129473,129473
