Inst Code,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_I BOYS,SC_I GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS
JNWN,CIV,CIVIL ENGINEERING,80748,80748,80748,80748,125377,125377,80748,80748,80748,80748,80748,80748,80748,80748,80748,143972,80748,80748
JNWN,CSE,COMPUTER SCIENCE AND ENGINEERING,51734,51734,82830,120622,87859,98706,51734,51734,75570,80643,127146,129448,51734,51734,141407,141407,127631,127631
JNWN,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",52463,52463,133107,133107,124650,124650,52463,88337,92034,115560,134068,134068,52463,52463,145226,145792,117407,117407
JNWN,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,78566,105846,132458,132458,130644,130644,78566,105846,134039,134039,78566,105846,149644,149644,149212,151321,78566,105846
JNWN,MEC,MECHANICAL ENGINEERING,148325,148325,148325,148325,148325,148325,148325,148325,148325,148325,148325,148325,148325,148325,148325,148325,148325,148325
JOGI,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),59274,59274,94840,113637,79136,86690,59274,59274,78039,78745,121286,130931,59274,144957,139419,150473,77464,79749
JOGI,CSE,COMPUTER SCIENCE AND ENGINEERING,61575,61575,129267,134314,93982,93982,83103,83103,81253,81253,116510,116510,132994,132994,141429,145855,79462,79462
JOGI,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",65012,65012,133382,133382,96432,96432,88491,88491,87519,88945,132991,135325,140896,140896,149837,149928,81607,81607
JOGI,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,84970,84970,117762,130935,116072,125042,90797,90797,108802,108802,130256,130256,107177,107177,150943,150943,107378,107378
JOGI,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,122809,122809,134000,134000,127110,132345,122809,122809,133909,133909,147017,147017,122809,140761,148987,151654,130987,130987
JOGI,INF,INFORMATION TECHNOLOGY,67491,67491,73385,116343,109365,109365,67491,93473,96339,96339,112027,112027,67491,67491,149351,150069,88560,88560
JOGI,MEC,MECHANICAL ENGINEERING,132068,132068,145651,145651,149650,149650,132068,132068,132068,132068,132068,132068,132068,132068,151487,151487,132068,132068
JPNE,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,64762,64762,102574,102574,133914,133914,74671,74671,101131,133690,117677,117677,105118,105118,133768,140889,123025,123025
JPNE,CIV,CIVIL ENGINEERING,106597,129739,106597,129739,106597,129739,106597,129739,106597,129739,115220,129739,106597,129739,106597,129739,106597,129739
JPNE,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),87650,100147,126193,126193,87650,134895,87650,100147,87650,100147,121618,121618,139920,139920,87650,100147,87650,100147
JPNE,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),92588,92588,122628,122628,133731,133731,92588,92588,129724,129724,132944,132944,92588,92588,151488,151488,92588,92588
JPNE,CSE,COMPUTER SCIENCE AND ENGINEERING,62878,62878,109779,132983,126113,126858,99310,99310,80613,93984,77520,86179,62878,62878,150713,150713,131445,131445
JPNE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,80283,80283,121363,121363,128883,128883,80283,92118,125781,125781,116793,116793,80283,80283,124060,148386,80283,123539
JPNE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,106557,106557,106557,134639,106557,137926,106557,106557,130922,134170,106557,115824,106557,106557,106557,116153,106557,106557
JPNE,MEC,MECHANICAL ENGINEERING,112377,112377,112377,112377,112377,112377,112377,112377,112377,112377,132933,132933,112377,112377,112377,112377,112377,112377
KCEA,CIV,CIVIL ENGINEERING,144165,144165,144165,144165,144165,144165,144165,144165,144165,144165,144165,144165,144165,144165,144165,144165,144165,144165
KCEA,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),130328,130328,130328,130328,130328,130328,130328,130328,130328,130328,130328,130328,130328,130328,130328,130328,130328,130328
KCEA,CSE,COMPUTER SCIENCE AND ENGINEERING,82933,82933,105669,113254,134964,134964,121638,121638,131665,131665,82933,112654,137914,137914,149622,151372,114273,114273
KCEA,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,122645,122645,122645,122645,122645,122645,122645,122645,122645,122645,122645,122645,122645,122645,122645,122645,122645,122645
KCEA,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,74721,74721,74721,74721,74721,74721,74721,74721,74721,74721,74721,74721,74721,74721,137027,137027,74721,74721
KDDW,CIV,CIVIL ENGINEERING,NA,101083,NA,141489,NA,146832,NA,147140,NA,145136,NA,145259,NA,129137,NA,136521,NA,101083
KDDW,CSE,COMPUTER SCIENCE AND ENGINEERING,NA,88100,NA,138313,NA,139723,NA,138969,NA,141107,NA,139394,NA,137727,NA,144702,NA,126529
KDDW,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,93280,NA,126386,NA,134120,NA,93280,NA,124168,NA,117534,NA,93280,NA,146815,NA,128917
KDDW,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,NA,116440,NA,138002,NA,145424,NA,140744,NA,146526,NA,142638,NA,132443,NA,146246,NA,116440
KGRH,CIV,CIVIL ENGINEERING,79448,79448,128168,128168,104408,104408,79448,79448,92124,126709,97535,97535,79448,79448,142148,142148,111288,129293
KGRH,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),48108,48108,94057,123143,76013,78244,48108,73810,69117,72130,87668,106461,48108,140226,137671,141121,59128,59128
KGRH,CSE,COMPUTER SCIENCE AND ENGINEERING,44287,44287,90165,112945,70137,70137,98264,98264,61086,67103,76742,76883,136233,136233,130324,144897,56765,56765
KGRH,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",45342,45342,93295,120570,74733,74733,45342,102109,65500,71214,72045,87763,137697,137697,141155,151574,57681,57681
KGRH,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,61795,64812,126632,128355,91415,91415,82882,82882,82304,85276,128415,128415,61795,147250,147888,148155,75963,75963
KGRH,MEC,MECHANICAL ENGINEERING,80477,123576,99912,123576,116239,128417,119221,123576,102186,123576,115307,123576,80477,123576,141633,144374,120228,123576
KITS,CIV,CIVIL ENGINEERING,56416,56416,81568,130806,82674,111918,56416,56416,59680,107057,118085,119848,132374,132374,109091,109091,68234,110197
KITS,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),22197,22197,47556,51902,32644,32644,31868,31868,31330,31330,32971,39829,22197,22197,74351,75301,28920,31050
KITS,CSE,COMPUTER SCIENCE AND ENGINEERING,21658,21658,46714,46714,30766,30766,42607,42607,29673,29673,31861,31861,40053,54235,68857,68857,27960,27960
KITS,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",16577,16577,46422,49949,27174,30262,26709,26709,24964,24964,22563,23994,98010,98010,78170,86837,25766,25766
KITS,CSN,COMPUTER SCIENCE & ENGINEERING (NETWORKS),28960,37374,50923,71614,40264,40264,28960,37374,32351,37374,57462,57462,28960,37374,103117,120050,38549,38549
KITS,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),30341,34945,73773,73773,43193,46873,30341,34945,35546,35546,61485,61485,111308,111308,120001,136494,38472,38472
KITS,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,29771,29771,58252,58252,43786,43786,38288,38288,44683,45977,67740,67740,90915,90915,89720,112603,41528,41528
KITS,ECI,ELECTRONICS COMMUNICATION AND INSTRUMENTATION ENGINEERING,49511,49511,95543,112455,72149,72149,49511,49511,52715,52715,96039,114241,49511,49511,137843,141300,62920,62920
KITS,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,42540,42540,83792,83792,52222,55118,42540,42540,56454,76199,42540,83344,140260,140260,107531,107531,56528,101556
KITS,INF,INFORMATION TECHNOLOGY,26909,26909,72570,72570,41520,44234,26909,33971,39143,43842,61727,61727,26909,26909,100207,121912,37414,41331
